Plasmid_1	organism_ID1	plasmid_clust1	Plasmid_2	plasmid_clust2	organism_ID2	ANI	aligned_fragments	fragments	Alignment_fraction	Alignment_fraction_perc	Same_cluster_1	Self_comparison	Multi_plasmid_isolate
AP024246.1	66	9	CP034180.1	19	182	84.1143	6	49	0.12244898	12.244898	Not_Same_Cluster	Different_Contig	No
AP024246.1	66	9	CP092424.2	U	105	80.263	17	49	0.346938776	34.6938776	Not_Same_Cluster	Different_Contig	No
AP024246.1	66	9	AP026368.1	28	143	78.0241	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024246.1	66	9	LT703507.1	1	93	76.5326	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024246.1	66	9	AP025525.1	1	154	76.1894	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024246.1	66	9	CP003054.1	U	284	75.1586	16	49	0.326530612	32.6530612	Not_Same_Cluster	Different_Contig	No
AP024246.1	66	9	CP081674.1	U	291	74.669	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	AP024249.1	9	65	100	49	49	1	100	9	Same_Contig	No
AP024249.1	65	9	AP024246.1	9	66	100	48	49	0.979591837	97.9591837	9	Different_Contig	No
AP024249.1	65	9	CP085946.1	9	58	99.9841	49	49	1	100	9	Different_Contig	No
AP024249.1	65	9	AP024263.1	9	68	99.9458	49	49	1	100	9	Different_Contig	No
AP024249.1	65	9	CP065048.1	9	103	99.9254	49	49	1	100	9	Different_Contig	No
AP024249.1	65	9	AP024261.1	9	67	99.9116	49	49	1	100	9	Different_Contig	No
AP024249.1	65	9	AP024242.1	9	64	99.9026	49	49	1	100	9	Different_Contig	No
AP024249.1	65	9	AP024267.1	9	61	99.896	49	49	1	100	9	Different_Contig	No
AP024249.1	65	9	AP025526.1	U	154	89.072	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	AP022571.1	U	322	89.0718	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	CP092424.2	U	105	79.3988	20	49	0.408163265	40.8163265	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	AP026368.1	28	143	79.1664	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	AP025525.1	1	154	76.4695	12	49	0.244897959	24.4897959	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	CP003054.1	U	284	75.5441	15	49	0.306122449	30.6122449	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	CP092428.2	U	326	74.2815	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024249.1	65	9	AP022607.1	U	44	73.4883	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP024252.1	18	131	100	49	49	1	100	18	Same_Contig	No
AP024252.1	131	18	CP040246.1	18	22	99.9388	48	49	0.979591837	97.9591837	18	Different_Contig	No
AP024252.1	131	18	CP023150.1	18	59	99.898	48	49	0.979591837	97.9591837	18	Different_Contig	No
AP024252.1	131	18	CP059001.1	18	16	99.898	48	49	0.979591837	97.9591837	18	Different_Contig	No
AP024252.1	131	18	CP040254.1	18	23	99.8375	49	49	1	100	18	Different_Contig	No
AP024252.1	131	18	CP040248.1	18	21	98.3942	47	49	0.959183673	95.9183673	18	Different_Contig	No
AP024252.1	131	18	CP065049.1	U	103	93.8269	27	49	0.551020408	55.1020408	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP022585.1	U	125	89.6179	21	49	0.428571429	42.8571429	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP022225.1	6	88	84.8066	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP015271.1	6	85	84.7278	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP012888.2	6	83	84.4507	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP076861.1	6	17	84.4315	9	49	0.183673469	18.3673469	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP045968.1	6	90	84.3911	9	49	0.183673469	18.3673469	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP084597.1	6	91	83.7268	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP020329.1	6	24	83.7268	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP084589.1	6	92	83.7268	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP015277.1	6	86	83.7267	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP019223.1	4	84	83.6645	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	LT703509.1	4	93	83.6644	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP084594.1	4	91	83.6644	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP045965.1	4	90	83.127	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP015274.1	4	86	82.8019	12	49	0.244897959	24.4897959	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP092426.2	3	105	80.9922	8	49	0.163265306	16.3265306	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	LT703508.1	23	93	79.4542	15	49	0.306122449	30.6122449	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP045967.1	23	90	79.4088	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP084596.1	23	91	79.2676	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP092425.2	23	105	79.2038	15	49	0.306122449	30.6122449	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP084590.1	23	92	78.918	15	49	0.306122449	30.6122449	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP015276.1	23	86	78.8152	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP012887.2	U	83	78.6978	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP012556.1	25	25	78.0158	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP076859.1	25	17	77.9998	12	49	0.244897959	24.4897959	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP025527.1	U	154	77.8165	9	49	0.183673469	18.3673469	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP076857.1	25	18	77.6565	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP059000.1	25	16	77.6133	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP025526.1	U	154	77.3658	12	49	0.244897959	24.4897959	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP023152.1	25	89	77.1897	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP059002.1	12	16	75.4749	8	49	0.163265306	16.3265306	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP076858.1	12	18	75.2252	9	49	0.183673469	18.3673469	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP092424.2	U	105	75.162	12	49	0.244897959	24.4897959	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP022607.1	U	44	75.1385	25	49	0.510204082	51.0204082	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP003054.1	U	284	74.9296	15	49	0.306122449	30.6122449	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP029334.1	2	19	74.5095	9	49	0.183673469	18.3673469	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP025525.1	1	154	74.4085	12	49	0.244897959	24.4897959	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP023334.1	16	348	73.9566	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	AP023363.1	16	349	73.9566	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP045964.1	1	90	73.5166	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP019224.1	1	84	73.5166	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	LT703507.1	1	93	73.5165	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP015273.1	1	86	73.5165	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP084593.1	1	91	73.5165	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024252.1	131	18	CP003079.1	U	161	73.5114	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024256.1	63	U	AP024256.1	U	63	100	102	102	1	100	Unclustered	Same_Contig	No
AP024261.1	67	9	AP024263.1	9	68	100	48	49	0.979591837	97.9591837	9	Different_Contig	No
AP024261.1	67	9	AP024261.1	9	67	100	49	49	1	100	9	Same_Contig	No
AP024261.1	67	9	CP085946.1	9	58	100	48	49	0.979591837	97.9591837	9	Different_Contig	No
AP024261.1	67	9	AP024267.1	9	61	99.9897	48	49	0.979591837	97.9591837	9	Different_Contig	No
AP024261.1	67	9	AP024242.1	9	64	99.9841	49	49	1	100	9	Different_Contig	No
AP024261.1	67	9	CP065048.1	9	103	99.9794	49	49	1	100	9	Different_Contig	No
AP024261.1	67	9	AP024246.1	9	66	99.9655	49	49	1	100	9	Different_Contig	No
AP024261.1	67	9	AP024249.1	9	65	99.9155	49	49	1	100	9	Different_Contig	No
AP024261.1	67	9	AP022571.1	U	322	89.077	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	AP025526.1	U	154	88.8288	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	CP092424.2	U	105	79.3817	18	49	0.367346939	36.7346939	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	AP026368.1	28	143	78.4912	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	AP025525.1	1	154	75.9524	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	CP003054.1	U	284	75.2317	15	49	0.306122449	30.6122449	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	CP004375.1	31	240	75.1949	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	CP025547.1	U	130	74.3439	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	CP092428.2	U	326	74.3015	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	AP022592.1	U	273	73.9138	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024261.1	67	9	AP022607.1	U	44	73.5252	12	49	0.244897959	24.4897959	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	AP024249.1	9	65	100	48	49	0.979591837	97.9591837	9	Different_Contig	No
AP024263.1	68	9	CP085946.1	9	58	100	48	49	0.979591837	97.9591837	9	Different_Contig	No
AP024263.1	68	9	AP024263.1	9	68	100	49	49	1	100	9	Same_Contig	No
AP024263.1	68	9	AP024242.1	9	64	99.9995	48	49	0.979591837	97.9591837	9	Different_Contig	No
AP024263.1	68	9	AP024246.1	9	66	99.9861	49	49	1	100	9	Different_Contig	No
AP024263.1	68	9	AP024261.1	9	67	99.9791	49	49	1	100	9	Different_Contig	No
AP024263.1	68	9	CP065048.1	9	103	99.9628	49	49	1	100	9	Different_Contig	No
AP024263.1	68	9	AP024267.1	9	61	99.9523	49	49	1	100	9	Different_Contig	No
AP024263.1	68	9	AP025526.1	U	154	88.8442	11	49	0.224489796	22.4489796	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	AP022571.1	U	322	88.7631	13	49	0.265306122	26.5306122	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	CP034180.1	19	182	84.1189	6	49	0.12244898	12.244898	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	CP092424.2	U	105	79.5325	18	49	0.367346939	36.7346939	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	AP026368.1	28	143	77.7869	15	49	0.306122449	30.6122449	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	JQ657805.1	1	98	76.6524	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	LT703507.1	1	93	76.2658	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	AP025525.1	1	154	76.0936	14	49	0.285714286	28.5714286	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	CP003054.1	U	284	75.3188	16	49	0.326530612	32.6530612	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	CP081674.1	U	291	74.6109	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	CP092428.2	U	326	74.3962	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024263.1	68	9	AP022607.1	U	44	73.5589	10	49	0.204081633	20.4081633	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	AP024267.1	9	61	100	52	52	1	100	9	Same_Contig	No
AP024267.1	61	9	AP024263.1	9	68	99.9716	49	52	0.942307692	94.2307692	9	Different_Contig	No
AP024267.1	61	9	AP024249.1	9	65	99.9715	48	52	0.923076923	92.3076923	9	Different_Contig	No
AP024267.1	61	9	CP085946.1	9	58	99.9715	48	52	0.923076923	92.3076923	9	Different_Contig	No
AP024267.1	61	9	AP024242.1	9	64	99.971	48	52	0.923076923	92.3076923	9	Different_Contig	No
AP024267.1	61	9	AP024261.1	9	67	99.9517	49	52	0.942307692	94.2307692	9	Different_Contig	No
AP024267.1	61	9	CP065048.1	9	103	99.9368	49	52	0.942307692	94.2307692	9	Different_Contig	No
AP024267.1	61	9	AP024246.1	9	66	99.7752	50	52	0.961538462	96.1538462	9	Different_Contig	No
AP024267.1	61	9	AP025526.1	U	154	88.8012	11	52	0.211538462	21.1538462	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	AP022571.1	U	322	87.6776	14	52	0.269230769	26.9230769	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	CP034180.1	19	182	83.9658	6	52	0.115384615	11.5384615	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	CP092424.2	U	105	79.4996	17	52	0.326923077	32.6923077	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	AP026368.1	28	143	77.7924	15	52	0.288461538	28.8461538	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	JQ657805.1	1	98	76.3932	11	52	0.211538462	21.1538462	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	AP025525.1	1	154	75.9373	15	52	0.288461538	28.8461538	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	CP003054.1	U	284	75.3364	16	52	0.307692308	30.7692308	Not_Same_Cluster	Different_Contig	No
AP024267.1	61	9	AP022607.1	U	44	73.556	11	52	0.211538462	21.1538462	Not_Same_Cluster	Different_Contig	No
AP025525.1	154	1	AP025525.1	1	154	100	752	760	0.989473684	98.9473684	1	Same_Contig	Yes
AP025525.1	154	1	JQ657805.1	1	98	99.6649	246	760	0.323684211	32.3684211	1	Different_Contig	Yes
AP025525.1	154	1	CP023153.1	1	89	95.018	168	760	0.221052632	22.1052632	1	Different_Contig	Yes
AP025525.1	154	1	CP019224.1	1	84	94.9727	170	760	0.223684211	22.3684211	1	Different_Contig	Yes
AP025525.1	154	1	CP045964.1	1	90	94.9502	167	760	0.219736842	21.9736842	1	Different_Contig	Yes
AP025525.1	154	1	LT703507.1	1	93	94.9448	171	760	0.225	22.5	1	Different_Contig	Yes
AP025525.1	154	1	CP084588.1	1	92	94.9124	171	760	0.225	22.5	1	Different_Contig	Yes
AP025525.1	154	1	CP084593.1	1	91	94.8637	169	760	0.222368421	22.2368421	1	Different_Contig	Yes
AP025525.1	154	1	CP015273.1	1	86	94.6331	174	760	0.228947368	22.8947368	1	Different_Contig	Yes
AP025525.1	154	1	CP006836.1	1	101	94.4227	174	760	0.228947368	22.8947368	1	Different_Contig	Yes
AP025525.1	154	1	CP015280.1	1	87	93.8322	184	760	0.242105263	24.2105263	1	Different_Contig	Yes
AP025525.1	154	1	CP029333.1	1	19	93.7892	182	760	0.239473684	23.9473684	1	Different_Contig	Yes
AP025525.1	154	1	CP025547.1	U	130	90.5297	247	760	0.325	32.5	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP025526.1	U	154	83.619	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040249.1	17	21	82.4837	19	760	0.025	2.5	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040253.1	17	23	82.3763	18	760	0.023684211	2.3684211	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040245.1	17	22	81.8692	19	760	0.025	2.5	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP079877.1	U	166	81.7972	4	760	0.005263158	0.5263158	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP059000.1	25	16	81.0205	153	760	0.201315789	20.1315789	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP015279.1	27	87	80.7797	138	760	0.181578947	18.1578947	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP012556.1	25	25	80.7771	167	760	0.219736842	21.9736842	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	HG917973.1	20	122	80.6774	107	760	0.140789474	14.0789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP076859.1	25	17	80.6771	171	760	0.225	22.5	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP092982.1	20	121	80.6683	107	760	0.140789474	14.0789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP015268.1	27	85	80.4621	140	760	0.184210526	18.4210526	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP018497.1	20	118	80.3606	106	760	0.139473684	13.9473684	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP076857.1	25	18	80.0191	190	760	0.25	25	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP070974.1	U	52	78.6049	121	760	0.159210526	15.9210526	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040252.1	2	23	77.8013	15	760	0.019736842	1.9736842	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP036221.2	2	20	77.7476	10	760	0.013157895	1.3157895	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP079874.1	U	166	77.691	12	760	0.015789474	1.5789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP076858.1	12	18	77.5427	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP079866.1	U	167	77.1851	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP085946.1	9	58	77.1829	12	760	0.015789474	1.5789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP024249.1	9	65	77.1828	12	760	0.015789474	1.5789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP024261.1	9	67	77.1828	12	760	0.015789474	1.5789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP059002.1	12	16	77.1331	10	760	0.013157895	1.3157895	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040251.1	2	23	77.1058	18	760	0.023684211	2.3684211	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP016642.1	U	157	76.9172	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP024246.1	9	66	76.8955	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP024263.1	9	68	76.892	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP024242.1	9	64	76.892	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP065281.1	5	231	76.7637	17	760	0.022368421	2.2368421	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP024267.1	9	61	76.6589	14	760	0.018421053	1.8421053	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP081676.1	U	291	76.2556	12	760	0.015789474	1.5789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP032156.1	U	158	76.1838	92	760	0.121052632	12.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP063322.1	U	216	75.9931	20	760	0.026315789	2.6315789	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP065270.1	5	225	75.9912	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP065048.1	9	103	75.9478	18	760	0.023684211	2.3684211	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP080335.1	U	317	75.601	15	760	0.019736842	1.9736842	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP003054.1	U	284	75.4477	193	760	0.253947368	25.3947368	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP092363.2	U	286	75.3792	95	760	0.125	12.5	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP022580.1	U	277	75.3202	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP025528.1	29	154	75.2984	10	760	0.013157895	1.3157895	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP025550.1	29	130	75.2981	10	760	0.013157895	1.3157895	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040254.1	18	23	75.2002	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP092428.2	U	326	75.0337	116	760	0.152631579	15.2631579	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP023150.1	18	59	74.6822	15	760	0.019736842	1.9736842	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP022225.1	6	88	74.6789	8	760	0.010526316	1.0526316	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP084590.1	23	92	74.6368	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP015276.1	23	86	74.6368	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	LT703508.1	23	93	74.6368	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040248.1	18	21	74.6065	12	760	0.015789474	1.5789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP016643.1	8	157	74.5945	11	760	0.014473684	1.4473684	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP092426.2	3	105	74.5546	8	760	0.010526316	1.0526316	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP045968.1	6	90	74.547	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP084597.1	6	91	74.547	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP012888.2	6	83	74.547	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP015277.1	6	86	74.547	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP020329.1	6	24	74.547	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP040246.1	18	22	74.5458	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP024252.1	18	131	74.5458	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP025549.1	U	130	74.5417	11	760	0.014473684	1.4473684	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	JQ657806.1	U	98	74.5038	8	760	0.010526316	1.0526316	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP020328.1	7	24	74.5009	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP063325.1	U	218	74.485	12	760	0.015789474	1.5789474	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP103314.1	U	286	74.4455	8	760	0.010526316	1.0526316	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP015271.1	6	85	74.437	10	760	0.013157895	1.3157895	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP092425.2	23	105	74.4333	11	760	0.014473684	1.4473684	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP085920.1	19	236	74.3619	14	760	0.018421053	1.8421053	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP000895.1	19	123	74.3103	15	760	0.019736842	1.9736842	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CU458745.1	19	214	74.2619	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP059001.1	18	16	74.2333	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP076861.1	6	17	74.1541	8	760	0.010526316	1.0526316	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP084594.1	4	91	74.1466	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP015274.1	4	86	74.1466	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP019223.1	4	84	74.1466	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP045965.1	4	90	74.1466	16	760	0.021052632	2.1052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP009405.2	U	13	74.1237	35	760	0.046052632	4.6052632	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	AP022607.1	U	44	74.0953	192	760	0.252631579	25.2631579	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP084591.1	3	92	74.0879	8	760	0.010526316	1.0526316	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP009406.2	26	13	74.0286	8	760	0.010526316	1.0526316	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP089219.1	24	100	73.9447	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP089217.1	24	99	73.9447	9	760	0.011842105	1.1842105	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP034180.1	19	182	73.934	11	760	0.014473684	1.4473684	Not_Same_Cluster	Different_Contig	Yes
AP025525.1	154	1	CP080334.1	U	317	73.8594	13	760	0.017105263	1.7105263	Not_Same_Cluster	Different_Contig	Yes
