t	Gene	Identity	Type	Class	Cluster (mash)	Plasmid	Gene				Class		Class	
8-CP016643.1	terZ	50.86	STRESS	Te	8	CP016643.1	S-terZ				TELLURIUM			
8-CP016643.1	terB	32.45	STRESS	Te	8	CP016643.1	S-terB				TELLURIUM			
8-CP016643.1	terE	61.26	STRESS	Te	8	CP016643.1	S-terE				TELLURIUM			
1-CP029333.1	nccH	30.85	STRESS	Metal	1	CP029333.1	S-nccH				METALS			
1-CP015280.1	cadA	38.27	STRESS	Cd	1	CP015280.1	S-cadA				CADMIUM			
1-CP015280.1	golT	47.72	STRESS	Cu/Au	1	CP015280.1	S-golT				COPPER/GOLD			
1-CP006836.1	nccH	30.85	STRESS	Metal	1	CP006836.1	S-nccH				METALS			
1-AP025525.1	arsR	40.26	STRESS	As	1	AP025525.1	S-arsR				ARSENIC			
1-AP025525.1	nirB	35.71	STRESS	Ni	1	AP025525.1	S-nirB				NICKEL			
1-AP025525.1	ncrB	36.11	STRESS	Ni	1	AP025525.1	S-ncrB				NICKEL			
1-AP025525.1	merA	45.77	STRESS	Hg	1	AP025525.1	S-merA				MERCURY			
1-AP025525.1	merR2	32.76	STRESS	Hg	1	AP025525.1	S-merR2				MERCURY			
1-AP025525.1	golT	48.1	STRESS	Cu/Au	1	AP025525.1	S-golT				COPPER/GOLD			
1-AP025525.1	cadA	37.85	STRESS	Cd	1	AP025525.1	S-cadA				CADMIUM			
1-AP025525.1	arsC	42.64	STRESS	As	1	AP025525.1	S-arsC				ARSENIC			
1-AP025525.1	acr3	54.44	STRESS	As	1	AP025525.1	S-acr3				ARSENIC			
1-AP025525.1	arsD	50.77	STRESS	As	1	AP025525.1	S-arsD				ARSENIC			
1-AP025525.1	arsA	62.67	STRESS	As	1	AP025525.1	S-arsA				ARSENIC			
