Plasmid1	organism_ID1	plasmid_clust1	Plasmid2	plasmid_clust2	organism_ID2	MashDistance	Multi_plasmid_isolate
AP017625.1	179	28	CP022224.1	7	88	1	No
CP079870.1	166	10	CP022224.1	7	88	1	Yes
CP040249.1	21	17	CP022224.1	7	88	0.339586	Yes
CP081674.1	291	U	CP022224.1	7	88	1	Yes
CP015269.1	85	U	CP022224.1	7	88	0.35328	Yes
CP065184.1	222	14	CP022224.1	7	88	1	No
CP003055.1	284	U	CP022224.1	7	88	0.405585	Yes
CP079873.1	166	U	CP022224.1	7	88	1	Yes
CP103312.1	176	28	CP022224.1	7	88	1	No
CP092366.2	262	U	CP022224.1	7	88	1	No
CP080334.1	317	U	CP022224.1	7	88	0.35328	Yes
CP065286.1	234	U	CP022224.1	7	88	1	Yes
AP024246.1	66	9	CP022224.1	7	88	1	No
CP045964.1	90	1	CP022224.1	7	88	1	Yes
CP023150.1	59	18	CP022224.1	7	88	0.231311	No
CP015274.1	86	4	CP022224.1	7	88	0.0930801	Yes
CP083743.1	175	U	CP022224.1	7	88	1	Yes
CP097321.1	4	U	CP022224.1	7	88	1	No
CP063326.1	218	14	CP022224.1	7	88	1	Yes
CP063322.1	216	U	CP022224.1	7	88	0.405585	Yes
AP022571.1	322	U	CP022224.1	7	88	1	No
CP040246.1	22	18	CP022224.1	7	88	0.231311	Yes
AP012556.1	25	25	CP022224.1	7	88	0.35328	No
CP089219.1	100	24	CP022224.1	7	88	1	No
CP019223.1	84	4	CP022224.1	7	88	0.0930221	Yes
CP059002.1	16	12	CP022224.1	7	88	0.372583	Yes
CP015280.1	87	1	CP022224.1	7	88	1	Yes
CP079868.1	167	U	CP022224.1	7	88	1	Yes
CP036222.2	20	26	CP022224.1	7	88	0.405585	Yes
CP083742.1	175	28	CP022224.1	7	88	0.405585	Yes
CP019222.1	84	13	CP022224.1	7	88	0.339586	Yes
CP063321.1	216	11	CP022224.1	7	88	1	Yes
CP002387.1	298	U	CP022224.1	7	88	0.35328	Yes
CP004376.1	240	21	CP022224.1	7	88	1	Yes
CU458745.1	214	19	CP022224.1	7	88	1	No
AP024242.1	64	9	CP022224.1	7	88	1	No
CP085201.1	174	28	CP022224.1	7	88	1	No
CP012888.2	83	6	CP022224.1	7	88	0.14515	Yes
CP081005.1	160	U	CP022224.1	7	88	1	No
CP113530.1	156	U	CP022224.1	7	88	0.372583	No
JQ657805.1	98	1	CP022224.1	7	88	1	Yes
AP023334.1	348	16	CP022224.1	7	88	1	Yes
CP092424.2	105	U	CP022224.1	7	88	1	Yes
AP024249.1	65	9	CP022224.1	7	88	1	No
CP004375.1	240	31	CP022224.1	7	88	0.405585	Yes
CP092426.2	105	3	CP022224.1	7	88	0.372583	Yes
CP045326.1	168	U	CP022224.1	7	88	1	Yes
LT703510.1	93	13	CP022224.1	7	88	0.339586	Yes
CP025549.1	130	U	CP022224.1	7	88	0.300994	Yes
AP024263.1	68	9	CP022224.1	7	88	1	No
CP020810.1	49	U	CP022224.1	7	88	1	Yes
CP006836.1	101	1	CP022224.1	7	88	1	No
CP003081.1	161	U	CP016643.1	8	157	1	Yes
CP019224.1	84	1	CP016643.1	8	157	1	Yes
CP029334.1	19	2	CP016643.1	8	157	0.320287	Yes
CP084591.1	92	3	CP016643.1	8	157	1	Yes
CP079866.1	167	U	CP016643.1	8	157	0.273629	Yes
LT703509.1	93	4	CP016643.1	8	157	0.35328	Yes
CP065270.1	225	5	CP016643.1	8	157	0.232543	Yes
CP079874.1	166	U	CP016643.1	8	157	1	Yes
CP084597.1	91	6	CP016643.1	8	157	0.35328	Yes
CP022224.1	88	7	CP016643.1	8	157	0.328965	Yes
CP040252.1	23	2	CP016643.1	8	157	0.320287	Yes
CP122996.1	274	U	CP016643.1	8	157	1	Yes
CP065048.1	103	9	CP016643.1	8	157	0.320287	Yes
AP025526.1	154	U	CP016643.1	8	157	0.276697	Yes
CP085946.1	58	9	CP016643.1	8	157	0.320287	No
CP079872.1	166	U	CP016643.1	8	157	1	Yes
AP022566.1	271	U	CP016643.1	8	157	0.405585	No
CP079867.1	167	10	CP016643.1	8	157	1	Yes
CP079871.1	166	U	CP016643.1	8	157	1	Yes
CP065277.1	228	11	CP016643.1	8	157	0.35328	No
CP063323.1	216	8	CP016643.1	8	157	0.0115358	Yes
CP076858.1	18	12	CP016643.1	8	157	0.320287	Yes
CP103314.1	286	U	CP016643.1	8	157	0.26546	Yes
AP020329.1	24	6	CP016643.1	8	157	0.35328	Yes
CP015597.1	171	U	CP016643.1	8	157	1	No
CP079879.1	166	U	CP016643.1	8	157	1	Yes
CP084595.1	91	13	CP016643.1	8	157	0.247037	Yes
CP080335.1	317	U	CP016643.1	8	157	0.210897	Yes
CP065282.1	231	14	CP016643.1	8	157	1	Yes
AP023336.1	348	15	CP016643.1	8	157	0.339586	Yes
CP012887.2	83	U	CP016643.1	8	157	0.320287	Yes
CP122998.1	274	U	CP016643.1	8	157	0.147304	Yes
AP023363.1	349	16	CP016643.1	8	157	0.405585	Yes
CP003054.1	284	U	CP016643.1	8	157	1	Yes
JQ657806.1	98	U	CP016643.1	8	157	1	Yes
CP020812.1	49	U	CP016643.1	8	157	0.405585	Yes
CP029333.1	19	1	CP016643.1	8	157	1	Yes
CP040253.1	23	17	CP016643.1	8	157	0.283502	Yes
AP022580.1	277	U	CP016643.1	8	157	0.339586	No
AP023365.1	349	15	CP016643.1	8	157	1	Yes
AP024252.1	131	18	CP016643.1	8	157	0.300994	No
AP024267.1	61	9	CP016643.1	8	157	0.320287	No
CP015271.1	85	6	CP016643.1	8	157	0.35328	Yes
CP034180.1	182	19	CP016643.1	8	157	0.372583	No
CP085920.1	236	19	CP016643.1	8	157	0.22559	No
AP022607.1	44	U	CP016643.1	8	157	1	No
CP079878.1	166	U	CP016643.1	8	157	1	Yes
CP084593.1	91	1	CP016643.1	8	157	1	Yes
CP015270.1	85	7	CP016643.1	8	157	0.328965	Yes
AP018497.1	118	20	CP016643.1	8	157	1	No
AP022622.1	206	21	CP016643.1	8	157	1	Yes
CP015273.1	86	1	CP016643.1	8	157	1	Yes
CP065285.1	234	U	CP016643.1	8	157	1	Yes
CP084587.1	92	22	CP016643.1	8	157	1	Yes
LT703506.1	93	22	CP016643.1	8	157	1	Yes
CP063329.1	220	U	CP016643.1	8	157	1	No
CP015276.1	86	23	CP016643.1	8	157	0.372583	Yes
CP089217.1	99	24	CP016643.1	8	157	0.35328	No
CP076859.1	17	25	CP016643.1	8	157	1	Yes
CP020811.1	49	U	CP016643.1	8	157	1	Yes
CP022225.1	88	6	CP016643.1	8	157	0.35328	Yes
CP079875.1	166	U	CP016643.1	8	157	1	Yes
CP003079.1	161	U	CP016643.1	8	157	1	Yes
AP024261.1	67	9	CP016643.1	8	157	0.320287	No
CP032156.1	158	U	CP016643.1	8	157	1	No
CP059001.1	16	18	CP016643.1	8	157	0.300994	Yes
CP079864.1	165	U	CP016643.1	8	157	1	No
CP009406.2	13	26	CP016643.1	8	157	0.35328	Yes
CP036221.2	20	2	CP016643.1	8	157	0.320287	Yes
CP015268.1	85	27	CP016643.1	8	157	1	Yes
AP022585.1	125	U	CP016643.1	8	157	0.405585	No
CP076857.1	18	25	CP016643.1	8	157	1	Yes
EU271968.1	112	28	CP016643.1	8	157	0.405585	No
AP020328.1	24	7	CP016643.1	8	157	0.328965	Yes
CP023153.1	89	1	CP016643.1	8	157	1	Yes
CP045967.1	90	23	CP016643.1	8	157	0.372583	Yes
HG917973.1	122	20	CP016643.1	8	157	1	No
CP065271.1	225	14	CP016643.1	8	157	1	Yes
AP025528.1	154	29	CP016643.1	8	157	1	Yes
CP084590.1	92	23	CP016643.1	8	157	0.372583	Yes
AP022611.1	307	U	CP016643.1	8	157	1	No
CP092363.2	286	U	CP016643.1	8	157	1	Yes
CP012886.2	83	U	CP016643.1	8	157	1	Yes
CP103313.1	326	U	CP016643.1	8	157	0.279978	Yes
LT703507.1	93	1	CP016643.1	8	157	1	Yes
CP118918.1	254	U	CP016643.1	8	157	1	No
AP026368.1	143	28	CP016643.1	8	157	1	No
CP079876.1	166	U	CP016643.1	8	157	1	Yes
CP065049.1	103	U	CP016643.1	8	157	0.372583	Yes
CP040251.1	23	2	CP016643.1	8	157	0.339586	Yes
CP009405.2	13	U	CP016643.1	8	157	0.405585	Yes
BX649209.1	178	28	CP016643.1	8	157	1	No
CP081676.1	291	U	CP016643.1	8	157	0.339586	Yes
CP015279.1	87	27	CP016643.1	8	157	1	Yes
CP040245.1	22	17	CP016643.1	8	157	0.287309	Yes
AP023364.1	349	30	CP016643.1	8	157	0.328965	Yes
CP045968.1	90	6	CP016643.1	8	157	0.35328	Yes
CP059000.1	16	25	CP016643.1	8	157	1	Yes
AP025525.1	154	1	CP016643.1	8	157	0.372583	Yes
AP023335.1	348	30	CP016643.1	8	157	0.306598	Yes
AP024256.1	63	U	CP016643.1	8	157	1	No
CP081675.1	291	U	CP016643.1	8	157	1	Yes
AP022623.1	206	31	CP016643.1	8	157	0.258493	Yes
CP084594.1	91	4	CP016643.1	8	157	0.35328	Yes
CP076860.1	17	U	CP016643.1	8	157	1	Yes
CP092428.2	326	U	CP016643.1	8	157	1	Yes
CP084588.1	92	1	CP016643.1	8	157	1	Yes
CP122999.1	274	U	CP016643.1	8	157	0.256381	Yes
CP122995.1	274	U	CP016643.1	8	157	1	Yes
CP023148.1	124	U	CP016643.1	8	157	0.320287	No
CP015277.1	86	6	CP016643.1	8	157	0.35328	Yes
CP122997.1	274	U	CP016643.1	8	157	1	Yes
AP022592.1	273	U	CP016643.1	8	157	1	No
CP092982.1	121	20	CP016643.1	8	157	1	No
CP025550.1	130	29	CP016643.1	8	157	1	Yes
CP016642.1	157	U	CP016643.1	8	157	0.227796	Yes
CP065281.1	231	5	CP016643.1	8	157	0.232543	Yes
AP020327.1	24	U	CP016643.1	8	157	1	Yes
CP045966.1	90	13	CP016643.1	8	157	0.247037	Yes
CP040248.1	21	18	CP016643.1	8	157	0.287309	Yes
CP002386.1	298	U	CP016643.1	8	157	1	Yes
CP092425.2	105	23	CP016643.1	8	157	0.35328	Yes
CP003080.1	161	U	CP016643.1	8	157	1	Yes
CP023152.1	89	25	CP016643.1	8	157	1	Yes
CP084589.1	92	6	CP016643.1	8	157	0.35328	Yes
CP063325.1	218	U	CP016643.1	8	157	0.209345	Yes
CP045327.1	168	U	CP016643.1	8	157	1	Yes
CP016641.1	157	U	CP016643.1	8	157	0.152169	Yes
CP040254.1	23	18	CP016643.1	8	157	0.300994	Yes
CP015275.1	86	13	CP016643.1	8	157	0.247037	Yes
CP070974.1	52	U	CP016643.1	8	157	1	No
AP022602.1	51	U	CP016643.1	8	157	0.405585	No
CP084596.1	91	23	CP016643.1	8	157	0.372583	Yes
CP043475.1	53	U	CP016643.1	8	157	0.35328	No
LT703508.1	93	23	CP016643.1	8	157	0.372583	Yes
CP025547.1	130	U	CP016643.1	8	157	1	Yes
CP020813.1	49	U	CP016643.1	8	157	0.372583	Yes
CP079877.1	166	U	CP016643.1	8	157	1	Yes
CP076861.1	17	6	CP016643.1	8	157	0.35328	Yes
CP000895.1	123	19	CP016643.1	8	157	0.22559	No
CP025548.1	130	U	CP016643.1	8	157	1	Yes
CP045965.1	90	4	CP016643.1	8	157	0.35328	Yes
AP025527.1	154	U	CP016643.1	8	157	0.306598	Yes
AP017625.1	179	28	CP016643.1	8	157	1	No
CP079870.1	166	10	CP016643.1	8	157	1	Yes
CP040249.1	21	17	CP016643.1	8	157	0.283502	Yes
CP081674.1	291	U	CP016643.1	8	157	1	Yes
CP015269.1	85	U	CP016643.1	8	157	1	Yes
CP065184.1	222	14	CP016643.1	8	157	1	No
CP003055.1	284	U	CP016643.1	8	157	1	Yes
CP079873.1	166	U	CP016643.1	8	157	0.165549	Yes
CP103312.1	176	28	CP016643.1	8	157	1	No
CP092366.2	262	U	CP016643.1	8	157	0.372583	No
CP080334.1	317	U	CP016643.1	8	157	0.279978	Yes
CP065286.1	234	U	CP016643.1	8	157	1	Yes
AP024246.1	66	9	CP016643.1	8	157	0.320287	No
CP045964.1	90	1	CP016643.1	8	157	1	Yes
CP023150.1	59	18	CP016643.1	8	157	0.300994	No
CP015274.1	86	4	CP016643.1	8	157	0.35328	Yes
CP083743.1	175	U	CP016643.1	8	157	1	Yes
CP097321.1	4	U	CP016643.1	8	157	1	No
CP063326.1	218	14	CP016643.1	8	157	1	Yes
CP063322.1	216	U	CP016643.1	8	157	0.22668	Yes
AP022571.1	322	U	CP016643.1	8	157	0.320287	No
CP040246.1	22	18	CP016643.1	8	157	0.300994	Yes
AP012556.1	25	25	CP016643.1	8	157	1	No
CP089219.1	100	24	CP016643.1	8	157	0.35328	No
CP019223.1	84	4	CP016643.1	8	157	0.35328	Yes
CP059002.1	16	12	CP016643.1	8	157	0.320287	Yes
CP015280.1	87	1	CP016643.1	8	157	1	Yes
CP079868.1	167	U	CP016643.1	8	157	1	Yes
CP036222.2	20	26	CP016643.1	8	157	0.35328	Yes
CP083742.1	175	28	CP016643.1	8	157	0.405585	Yes
CP019222.1	84	13	CP016643.1	8	157	0.247037	Yes
CP063321.1	216	11	CP016643.1	8	157	0.35328	Yes
CP002387.1	298	U	CP016643.1	8	157	0.35328	Yes
CP004376.1	240	21	CP016643.1	8	157	1	Yes
CU458745.1	214	19	CP016643.1	8	157	0.22559	No
AP024242.1	64	9	CP016643.1	8	157	0.320287	No
CP085201.1	174	28	CP016643.1	8	157	1	No
CP012888.2	83	6	CP016643.1	8	157	0.35328	Yes
CP081005.1	160	U	CP016643.1	8	157	1	No
CP113530.1	156	U	CP016643.1	8	157	1	No
JQ657805.1	98	1	CP016643.1	8	157	1	Yes
AP023334.1	348	16	CP016643.1	8	157	0.405585	Yes
CP092424.2	105	U	CP016643.1	8	157	1	Yes
AP024249.1	65	9	CP016643.1	8	157	0.320287	No
CP004375.1	240	31	CP016643.1	8	157	0.312952	Yes
CP092426.2	105	3	CP016643.1	8	157	1	Yes
CP045326.1	168	U	CP016643.1	8	157	1	Yes
LT703510.1	93	13	CP016643.1	8	157	0.247037	Yes
CP025549.1	130	U	CP016643.1	8	157	0.328965	Yes
AP024263.1	68	9	CP016643.1	8	157	0.320287	No
CP020810.1	49	U	CP016643.1	8	157	1	Yes
CP006836.1	101	1	CP016643.1	8	157	1	No
CP003081.1	161	U	CP040252.1	2	23	1	Yes
CP019224.1	84	1	CP040252.1	2	23	0.328965	Yes
CP029334.1	19	2	CP040252.1	2	23	0.0382824	Yes
CP084591.1	92	3	CP040252.1	2	23	0.405585	Yes
CP079866.1	167	U	CP040252.1	2	23	0.295981	Yes
LT703509.1	93	4	CP040252.1	2	23	0.372583	Yes
CP065270.1	225	5	CP040252.1	2	23	0.291447	Yes
CP079874.1	166	U	CP040252.1	2	23	1	Yes
CP084597.1	91	6	CP040252.1	2	23	0.405585	Yes
CP022224.1	88	7	CP040252.1	2	23	0.328965	Yes
CP016643.1	157	8	CP040252.1	2	23	0.320287	Yes
CP122996.1	274	U	CP040252.1	2	23	1	Yes
CP065048.1	103	9	CP040252.1	2	23	1	Yes
AP025526.1	154	U	CP040252.1	2	23	1	Yes
CP085946.1	58	9	CP040252.1	2	23	1	No
CP079872.1	166	U	CP040252.1	2	23	1	Yes
AP022566.1	271	U	CP040252.1	2	23	1	No
CP079867.1	167	10	CP040252.1	2	23	1	Yes
CP079871.1	166	U	CP040252.1	2	23	0.26546	Yes
CP065277.1	228	11	CP040252.1	2	23	1	No
CP063323.1	216	8	CP040252.1	2	23	0.35328	Yes
CP076858.1	18	12	CP040252.1	2	23	0.0878016	Yes
CP103314.1	286	U	CP040252.1	2	23	0.372583	Yes
AP020329.1	24	6	CP040252.1	2	23	0.405585	Yes
CP015597.1	171	U	CP040252.1	2	23	0.405585	No
CP079879.1	166	U	CP040252.1	2	23	0.235108	Yes
CP084595.1	91	13	CP040252.1	2	23	0.35328	Yes
CP080335.1	317	U	CP040252.1	2	23	0.372583	Yes
CP065282.1	231	14	CP040252.1	2	23	0.405585	Yes
AP023336.1	348	15	CP040252.1	2	23	0.22668	Yes
CP012887.2	83	U	CP040252.1	2	23	0.216771	Yes
CP122998.1	274	U	CP040252.1	2	23	0.35328	Yes
AP023363.1	349	16	CP040252.1	2	23	0.312952	Yes
CP003054.1	284	U	CP040252.1	2	23	1	Yes
JQ657806.1	98	U	CP040252.1	2	23	0.405585	Yes
CP020812.1	49	U	CP040252.1	2	23	0.35328	Yes
CP029333.1	19	1	CP040252.1	2	23	0.295981	Yes
CP040253.1	23	17	CP040252.1	2	23	0.0942581	Yes
AP022580.1	277	U	CP040252.1	2	23	0.339586	No
AP023365.1	349	15	CP040252.1	2	23	0.228939	Yes
AP024252.1	131	18	CP040252.1	2	23	0.35328	No
AP024267.1	61	9	CP040252.1	2	23	1	No
CP015271.1	85	6	CP040252.1	2	23	0.405585	Yes
CP034180.1	182	19	CP040252.1	2	23	0.405585	No
CP085920.1	236	19	CP040252.1	2	23	0.276697	No
AP022607.1	44	U	CP040252.1	2	23	0.372583	No
CP079878.1	166	U	CP040252.1	2	23	1	Yes
CP084593.1	91	1	CP040252.1	2	23	0.328965	Yes
CP015270.1	85	7	CP040252.1	2	23	0.339586	Yes
AP018497.1	118	20	CP040252.1	2	23	1	No
AP022622.1	206	21	CP040252.1	2	23	0.35328	Yes
CP015273.1	86	1	CP040252.1	2	23	0.328965	Yes
CP065285.1	234	U	CP040252.1	2	23	1	Yes
CP084587.1	92	22	CP040252.1	2	23	1	Yes
LT703506.1	93	22	CP040252.1	2	23	1	Yes
CP063329.1	220	U	CP040252.1	2	23	0.405585	No
CP015276.1	86	23	CP040252.1	2	23	0.328965	Yes
CP089217.1	99	24	CP040252.1	2	23	1	No
CP076859.1	17	25	CP040252.1	2	23	0.405585	Yes
CP020811.1	49	U	CP040252.1	2	23	0.372583	Yes
CP022225.1	88	6	CP040252.1	2	23	0.405585	Yes
CP079875.1	166	U	CP040252.1	2	23	1	Yes
CP003079.1	161	U	CP040252.1	2	23	1	Yes
AP024261.1	67	9	CP040252.1	2	23	1	No
CP032156.1	158	U	CP040252.1	2	23	1	No
CP059001.1	16	18	CP040252.1	2	23	0.35328	Yes
CP079864.1	165	U	CP040252.1	2	23	1	No
CP009406.2	13	26	CP040252.1	2	23	0.339586	Yes
CP036221.2	20	2	CP040252.1	2	23	0.0281347	Yes
CP015268.1	85	27	CP040252.1	2	23	1	Yes
AP022585.1	125	U	CP040252.1	2	23	0.312952	No
CP076857.1	18	25	CP040252.1	2	23	0.35328	Yes
EU271968.1	112	28	CP040252.1	2	23	0.372583	No
AP020328.1	24	7	CP040252.1	2	23	0.320287	Yes
CP023153.1	89	1	CP040252.1	2	23	0.328965	Yes
CP045967.1	90	23	CP040252.1	2	23	0.328965	Yes
HG917973.1	122	20	CP040252.1	2	23	1	No
CP065271.1	225	14	CP040252.1	2	23	0.405585	Yes
AP025528.1	154	29	CP040252.1	2	23	1	Yes
CP084590.1	92	23	CP040252.1	2	23	0.328965	Yes
AP022611.1	307	U	CP040252.1	2	23	1	No
CP092363.2	286	U	CP040252.1	2	23	0.405585	Yes
CP012886.2	83	U	CP040252.1	2	23	0.35328	Yes
CP103313.1	326	U	CP040252.1	2	23	0.276697	Yes
LT703507.1	93	1	CP040252.1	2	23	0.328965	Yes
CP118918.1	254	U	CP040252.1	2	23	1	No
AP026368.1	143	28	CP040252.1	2	23	0.372583	No
CP079876.1	166	U	CP040252.1	2	23	1	Yes
CP065049.1	103	U	CP040252.1	2	23	0.312952	Yes
CP040251.1	23	2	CP040252.1	2	23	0.00600313	Yes
CP009405.2	13	U	CP040252.1	2	23	1	Yes
BX649209.1	178	28	CP040252.1	2	23	1	No
CP081676.1	291	U	CP040252.1	2	23	0.328965	Yes
CP015279.1	87	27	CP040252.1	2	23	1	Yes
CP040245.1	22	17	CP040252.1	2	23	0.0957173	Yes
AP023364.1	349	30	CP040252.1	2	23	0.236445	Yes
CP045968.1	90	6	CP040252.1	2	23	0.405585	Yes
CP059000.1	16	25	CP040252.1	2	23	0.405585	Yes
AP025525.1	154	1	CP040252.1	2	23	0.372583	Yes
AP023335.1	348	30	CP040252.1	2	23	0.233808	Yes
AP024256.1	63	U	CP040252.1	2	23	1	No
CP081675.1	291	U	CP040252.1	2	23	0.339586	Yes
AP022623.1	206	31	CP040252.1	2	23	0.295981	Yes
CP084594.1	91	4	CP040252.1	2	23	0.372583	Yes
CP076860.1	17	U	CP040252.1	2	23	0.339586	Yes
CP092428.2	326	U	CP040252.1	2	23	1	Yes
CP084588.1	92	1	CP040252.1	2	23	0.328965	Yes
CP122999.1	274	U	CP040252.1	2	23	0.339586	Yes
CP122995.1	274	U	CP040252.1	2	23	0.295981	Yes
CP023148.1	124	U	CP040252.1	2	23	0.273629	No
CP015277.1	86	6	CP040252.1	2	23	0.405585	Yes
CP122997.1	274	U	CP040252.1	2	23	1	Yes
AP022592.1	273	U	CP040252.1	2	23	1	No
CP092982.1	121	20	CP040252.1	2	23	1	No
CP025550.1	130	29	CP040252.1	2	23	1	Yes
CP016642.1	157	U	CP040252.1	2	23	0.405585	Yes
CP065281.1	231	5	CP040252.1	2	23	0.291447	Yes
AP020327.1	24	U	CP040252.1	2	23	1	Yes
CP045966.1	90	13	CP040252.1	2	23	0.35328	Yes
CP040248.1	21	18	CP040252.1	2	23	0.372583	Yes
CP002386.1	298	U	CP040252.1	2	23	1	Yes
CP092425.2	105	23	CP040252.1	2	23	0.35328	Yes
CP003080.1	161	U	CP040252.1	2	23	1	Yes
CP023152.1	89	25	CP040252.1	2	23	0.405585	Yes
CP084589.1	92	6	CP040252.1	2	23	0.405585	Yes
CP063325.1	218	U	CP040252.1	2	23	0.273629	Yes
CP045327.1	168	U	CP040252.1	2	23	0.405585	Yes
CP016641.1	157	U	CP040252.1	2	23	1	Yes
CP040254.1	23	18	CP040252.1	2	23	0.101765	Yes
CP015275.1	86	13	CP040252.1	2	23	0.35328	Yes
CP070974.1	52	U	CP040252.1	2	23	1	No
AP022602.1	51	U	CP040252.1	2	23	1	No
CP084596.1	91	23	CP040252.1	2	23	0.328965	Yes
CP043475.1	53	U	CP040252.1	2	23	0.300994	No
LT703508.1	93	23	CP040252.1	2	23	0.328965	Yes
CP025547.1	130	U	CP040252.1	2	23	0.372583	Yes
CP020813.1	49	U	CP040252.1	2	23	0.339586	Yes
CP079877.1	166	U	CP040252.1	2	23	1	Yes
CP076861.1	17	6	CP040252.1	2	23	1	Yes
CP000895.1	123	19	CP040252.1	2	23	0.276697	No
CP025548.1	130	U	CP040252.1	2	23	1	Yes
CP045965.1	90	4	CP040252.1	2	23	0.372583	Yes
AP025527.1	154	U	CP040252.1	2	23	0.312952	Yes
AP017625.1	179	28	CP040252.1	2	23	1	No
CP079870.1	166	10	CP040252.1	2	23	0.320287	Yes
CP040249.1	21	17	CP040252.1	2	23	0.0947388	Yes
CP081674.1	291	U	CP040252.1	2	23	1	Yes
CP015269.1	85	U	CP040252.1	2	23	0.405585	Yes
CP065184.1	222	14	CP040252.1	2	23	0.405585	No
CP003055.1	284	U	CP040252.1	2	23	0.372583	Yes
CP079873.1	166	U	CP040252.1	2	23	0.35328	Yes
CP103312.1	176	28	CP040252.1	2	23	0.405585	No
CP092366.2	262	U	CP040252.1	2	23	1	No
CP080334.1	317	U	CP040252.1	2	23	0.372583	Yes
CP065286.1	234	U	CP040252.1	2	23	1	Yes
AP024246.1	66	9	CP040252.1	2	23	1	No
CP045964.1	90	1	CP040252.1	2	23	0.328965	Yes
CP023150.1	59	18	CP040252.1	2	23	0.35328	No
CP015274.1	86	4	CP040252.1	2	23	0.372583	Yes
CP083743.1	175	U	CP040252.1	2	23	1	Yes
CP097321.1	4	U	CP040252.1	2	23	1	No
CP063326.1	218	14	CP040252.1	2	23	0.405585	Yes
CP063322.1	216	U	CP040252.1	2	23	0.287309	Yes
AP022571.1	322	U	CP040252.1	2	23	1	No
CP040246.1	22	18	CP040252.1	2	23	0.35328	Yes
AP012556.1	25	25	CP040252.1	2	23	0.405585	No
CP089219.1	100	24	CP040252.1	2	23	1	No
CP019223.1	84	4	CP040252.1	2	23	0.372583	Yes
CP059002.1	16	12	CP040252.1	2	23	0.0878016	Yes
CP015280.1	87	1	CP040252.1	2	23	0.328965	Yes
CP079868.1	167	U	CP040252.1	2	23	0.175137	Yes
CP036222.2	20	26	CP040252.1	2	23	0.339586	Yes
CP083742.1	175	28	CP040252.1	2	23	0.372583	Yes
CP019222.1	84	13	CP040252.1	2	23	0.35328	Yes
CP063321.1	216	11	CP040252.1	2	23	1	Yes
CP002387.1	298	U	CP040252.1	2	23	0.372583	Yes
CP004376.1	240	21	CP040252.1	2	23	0.339586	Yes
CU458745.1	214	19	CP040252.1	2	23	0.276697	No
AP024242.1	64	9	CP040252.1	2	23	1	No
CP085201.1	174	28	CP040252.1	2	23	0.405585	No
CP012888.2	83	6	CP040252.1	2	23	0.405585	Yes
CP081005.1	160	U	CP040252.1	2	23	1	No
CP113530.1	156	U	CP040252.1	2	23	1	No
JQ657805.1	98	1	CP040252.1	2	23	0.328965	Yes
AP023334.1	348	16	CP040252.1	2	23	0.306598	Yes
CP092424.2	105	U	CP040252.1	2	23	1	Yes
AP024249.1	65	9	CP040252.1	2	23	1	No
CP004375.1	240	31	CP040252.1	2	23	0.405585	Yes
CP092426.2	105	3	CP040252.1	2	23	0.339586	Yes
CP045326.1	168	U	CP040252.1	2	23	1	Yes
LT703510.1	93	13	CP040252.1	2	23	0.35328	Yes
CP025549.1	130	U	CP040252.1	2	23	0.300994	Yes
AP024263.1	68	9	CP040252.1	2	23	1	No
CP020810.1	49	U	CP040252.1	2	23	1	Yes
CP006836.1	101	1	CP040252.1	2	23	0.339586	No
CP003081.1	161	U	CP122996.1	U	274	0.372583	Yes
CP019224.1	84	1	CP122996.1	U	274	1	Yes
CP029334.1	19	2	CP122996.1	U	274	1	Yes
CP084591.1	92	3	CP122996.1	U	274	1	Yes
CP079866.1	167	U	CP122996.1	U	274	1	Yes
LT703509.1	93	4	CP122996.1	U	274	1	Yes
CP065270.1	225	5	CP122996.1	U	274	1	Yes
CP079874.1	166	U	CP122996.1	U	274	1	Yes
CP084597.1	91	6	CP122996.1	U	274	1	Yes
CP022224.1	88	7	CP122996.1	U	274	1	Yes
CP016643.1	157	8	CP122996.1	U	274	1	Yes
CP040252.1	23	2	CP122996.1	U	274	1	Yes
CP065048.1	103	9	CP122996.1	U	274	1	Yes
AP025526.1	154	U	CP122996.1	U	274	1	Yes
CP085946.1	58	9	CP122996.1	U	274	1	No
CP079872.1	166	U	CP122996.1	U	274	1	Yes
AP022566.1	271	U	CP122996.1	U	274	0.405585	No
CP079867.1	167	10	CP122996.1	U	274	1	Yes
CP079871.1	166	U	CP122996.1	U	274	1	Yes
CP065277.1	228	11	CP122996.1	U	274	1	No
CP063323.1	216	8	CP122996.1	U	274	1	Yes
CP076858.1	18	12	CP122996.1	U	274	1	Yes
CP103314.1	286	U	CP122996.1	U	274	1	Yes
AP020329.1	24	6	CP122996.1	U	274	1	Yes
CP015597.1	171	U	CP122996.1	U	274	0.372583	No
CP079879.1	166	U	CP122996.1	U	274	1	Yes
CP084595.1	91	13	CP122996.1	U	274	1	Yes
CP080335.1	317	U	CP122996.1	U	274	1	Yes
CP065282.1	231	14	CP122996.1	U	274	1	Yes
AP023336.1	348	15	CP122996.1	U	274	1	Yes
CP012887.2	83	U	CP122996.1	U	274	1	Yes
CP122998.1	274	U	CP122996.1	U	274	1	Yes
AP023363.1	349	16	CP122996.1	U	274	0.405585	Yes
CP003054.1	284	U	CP122996.1	U	274	0.405585	Yes
JQ657806.1	98	U	CP122996.1	U	274	1	Yes
